S	T
PPAPDC1B	PPAPDC1A
NEDD4L	SMAD6
FOS	PRKCB
MKI67	IQGAP3
EDN1	MMP9
CHEK1	KIAA0101
ID1	RAP1A
SRD5A1	SRD5A3
PPAPDC1B	PPAP2B
PPAPDC1B	PPAP2C
ST6GALNAC5	ST6GALNAC3
TTK	GINS2
CHEK1	RRM2
MKI67	KIAA0101
HMMR	ECT2
PBK	MND1
TTK	FANCI
GTSE1	FOXM1
CDK1	EZH2
LDB2	LMO2
UHRF1	BUB1
TYMS	MCM6
CCNB2	MCM5
KIAA0101	MND1
DEPDC1	NCAPG
GTSE1	DLGAP5
ZWINT	KIF11
KIF14	MELK
STIL	NCAPG
PBK	CENPU
KIF2C	ANLN
KIF20A	FANCI
ZWINT	NCAPG
RRM2	ANLN
RRM2	FANCI
SMC4	TYMS
NUSAP1	MCM2
COX4I2	COX7A1
GIMAP6	GIMAP8
CHEK1	HMMR
FANCI	AURKA
SMC4	NUF2
KIF14	TPX2
KIF14	KIF15
ZFP36	FOS
FANCI	KIAA0101
UBE2C	ANLN
CDKN3	NUF2
KIF20A	MCM2
TOP2A	GINS2
TTK	CASC5
DEPDC1	KIF2C
ECT2	CEP55
FANCI	CCNB2
DEPDC1	MKI67
NDC80	GINS2
ASPM	UBE2T
FEN1	CCNB2
ASPM	MCM4
UBE2T	CENPF
TOP2A	KIF14
MCM7	BUB1
CDC20	ANLN
ASPM	GINS2
HMMR	KIF14
TPX2	GINS2
PBK	FANCI
EZH2	MELK
GNLY	GZMH
MKI67	CCNB1
TOP2A	FEN1
CENPF	FANCI
PTTG1	KIF4A
KIF2C	FANCI
ZWINT	CCNA2
DEPDC1	ANLN
CENPU	KIF11
TPX2	MCM2
NUSAP1	MCM4
CHEK1	KIF20A
HMMR	ZWINT
CDKN3	FEN1
GIMAP7	GIMAP4
TTK	CENPU
NEK2	CDKN3
CHEK1	CDKN3
TYMS	MCM7
STIL	TTK
HMMR	CENPU
CHEK1	TPX2
KIF2C	MCM2
CEP55	GINS2
DEPDC1	KIF14
CENPU	DLGAP5
MCM7	NCAPG
CCNB1	GMNN
ZFP36	JUNB
CHEK1	KIF2C
KIF2C	FEN1
MELK	MND1
CDKN3	CENPU
UHRF1	CCNB2
FANCI	GINS2
RRM2	CENPU
NKG7	GZMH
CEP55	TYMS
ZWINT	GINS2
HMMR	TYMS
KIF20A	ZWINT
HMMR	FOXM1
CDKN3	GINS2
FANCI	CENPU
CCNB1	MCM5
FANCI	MAD2L1
STIL	KIF11
NUSAP1	CENPU
HMMR	GINS2
ZWINT	ASPM
PTTG1	ZWINT
NCAPG	MCM5
NEK2	NCAPH
SHCBP1	DLGAP5
KIF2C	KIF14
KIF15	NUF2
PTTG1	GINS2
HMMR	MKI67
PRF1	NKG7
UBE2C	FANCI
PRF1	GNLY
PRC1	GINS2
KIAA0101	NUF2
ZWINT	MCM2
KIF15	MND1
CENPU	CCNA2
PRF1	GZMH
ASPM	EZH2
STIL	BUB1
ZWINT	TTK
CDKN3	FANCI
NUSAP1	ZWINT
ZWINT	FEN1
MCM6	CCNB1
FEN1	DLGAP5
PRC1	ZWINT
CDKN3	MND1
SHCBP1	KIF11
GNLY	NKG7
MNDA	AQP9
STIL	ASPM
MCM7	NDC80
AURKA	MCM5
ZWINT	FANCI
KIF20A	SMC4
KIF14	CDKN3
ZWINT	FOXM1
ECT2	KIF4A
MCM3	MAD2L1
KIF2C	TYMS
MKI67	AURKA
CEP55	CENPU
DLGAP5	MND1
KIF2C	MCM4
PRC1	CENPU
TPX2	MCM5
ZWINT	KIF15
CENPU	MND1
SHCBP1	CCNB1
PTTG1	FEN1
KIAA0101	AURKA
CHEK1	NEK2
SHCBP1	KIAA0101
DEPDC1	RRM2
LILRB2	FGR
NUSAP1	STIL
UBE2C	MCM2
GIMAP6	GIMAP7
CDKN3	TYMS
MCM4	DLGAP5
KIF14	UBE2C
ZWINT	TYMS
FPR1	LILRB2
UHRF1	KIF2C
UBE2T	CCNB1
LILRB2	FCN1
GTSE1	BUB1
FGR	MNDA
FEN1	KIF11
FEN1	CCNB1
KIF14	ANLN
UHRF1	RRM2
FOXM1	MCM2
TYMS	MND1
KIF2C	NCAPH
FOXM1	GINS2
TYMS	CDC6
SMC4	DLGAP5
STIL	MELK
KIF14	MAD2L1
GTSE1	TOP2A
PTTG1	FANCI
UHRF1	GINS2
MCM3	KIF20A
FEN1	BUB1
SHCBP1	NUF2
PRC1	FEN1
PBK	UBE2T
FOSB	EGR1
GIMAP1	GIMAP4
UHRF1	NUSAP1
MKI67	NUF2
CASC5	KIF11
KIF4A	MCM2
FANCI	MCM2
TOP2A	STIL
CDKN3	CDC6
UBE2T	BUB1
KIF15	ANLN
GTSE1	MKI67
CCNB2	MCM6
TOP2A	CENPU
TTK	MND1
NUSAP1	GTSE1
UHRF1	KIF20A
STIL	CCNA2
MNDA	TLR8
PRC1	MCM6
KIF4A	FANCI
GTSE1	KIF4A
NDC80	MND1
UHRF1	TPX2
GIMAP7	GIMAP8
NEK2	NUF2
BTG2	DUSP1
TTK	MCM7
ASPM	IQGAP3
STARD13	TNS1
FEN1	NDC80
UBE2T	AURKA
CENPU	GINS2
GINS1	CDC6
TPX2	CDC6
SHCBP1	AURKA
NUF2	ANLN
MCM6	NCAPG
FOXM1	FANCI
CDK1	MND1
UHRF1	CDC6
CHEK1	CCNB1
MCM3	CDCA7
TOP2A	MCM7
ALDH18A1	CCNB2
ALDH18A1	CCNB1
KIF20A	MCM5
CDC20	TK1
CDKN3	MCM4
MCM7	CDCA7
S100A12	VNN2
KIF20A	GINS2
PBK	CDC6
RRM2	SHCBP1
PTTG1	NEK2
ZWINT	AURKA
HMMR	STIL
TTK	SHCBP1
MKI67	SHCBP1
HOMER2	IFT57
KIF4A	ZWINT
UHRF1	MELK
CEP55	NCAPH
UBE2T	MELK
UHRF1	MCM4
RRM2	NUF2
DEPDC1	ECT2
UBE2T	CDKN3
NEK2	ANLN
UBE2C	FEN1
GMFG	ACTR2
ZWINT	MKI67
UBE2C	TK1
UBE2T	MND1
CCNA2	MND1
KIF20A	CDC6
MCM6	KIF11
CEP55	FEN1
CCNA2	PRR11
GTSE1	MELK
GINS1	NCAPH
ECT2	CENPF
MELK	NCAPH
CASC5	NCAPG
MCM3	MELK
IQGAP3	KIF11
ECT2	MKI67
KIF20A	MCM7
ZWINT	CDC6
MCM3	NUF2
PDE2A	GUCY1A2
RCC1	MCM5
TOP2A	CDC6
FRK	FGR
S100A10	EGFR
GMNN	AURKA
KIF14	NUF2
RRM2	TK1
TOP2A	MCM5
UBE2C	CBX7
DEPDC1	MELK
AURKA	CDC6
UHRF1	NEK2
GTSE1	UBE2C
UBE2C	MCM4
DEPDC1	CDKN3
ASPM	MCM2
ECT2	NUF2
FOXM1	ANLN
CENPF	TYMS
DEPDC1	KIF4A
NUF2	MCM5
TTK	MCM2
DEPDC1	CCNB1
ECT2	KIAA0101
CDC20	FANCI
TYMS	CCNB1
UHRF1	CCNB1
SMC4	MELK
KIF4A	GINS2
UHRF1	PBK
NR4A2	FOSB
SGCE	PGM5
KIF2C	SMC4
CHEK1	UBE2C
TOP2A	TK1
CENPF	GINS2
CCNB1	MND1
GJA5	GJB2
ELMO1	PDE3B
EZH2	CCNB2
MELK	MCM6
GTSE1	CENPF
PDE5A	GUCY1A2
S100A8	MNDA
TOP2A	MCM6
NPR1	PDE2A
UBE2T	TYMS
MELK	CDC6
RRM2	SMC4
GTSE1	TTK
GTSE1	CEP55
CDK1	CDCA7
DEPDC1	TPX2
TK1	KIAA0101
KIF20A	MCM6
PBK	FEN1
FEN1	CDC6
MCM7	NUF2
PBK	SMC4
UBE2T	DLGAP5
SMC4	GINS2
CHEK1	PRC1
RRM2	NCAPH
MCM2	NDC80
SYNC	DES
MAD2L1	NCAPH
UHRF1	KIAA0101
CDCA7	BUB1
UBE2C	CENPU
KIAA0101	MCM4
ECT2	UBE2C
MKI67	CDKN3
UHRF1	MAD2L1
TEK	FGF2
KIF2C	CDC6
KIF14	RRM2
DEPDC1	MAD2L1
CENPF	SMC4
NPR1	PDE5A
KIF15	CENPU
UHRF1	SHCBP1
DEPDC1	CCNB2
CENPF	IQGAP3
TEK	FGF7
FGF2	KDR
PBK	NCAPH
TOP2A	EZH2
FOXM1	KIAA0101
STIL	NDC80
UBE2T	CDC6
KIF15	MCM2
KIF14	FOXM1
TEK	PLCB4
PBK	MCM2
UHRF1	AURKA
SHCBP1	MAD2L1
CHEK1	FANCI
SMC4	MCM6
FOSB	DUSP1
