S	T
SPP1	MMP7
GPX8	ERO1L
PTTG1	CCNB2
PTGS2	PTGIS
MCM3	CDK1
SHCBP1	NCAPG
FPR1	ANXA1
CLEC12A	MCEMP1
GMNN	MCM5
ARRB1	GRK5
CSF3R	CSF3
PROS1	F8
CD55	CD97
TPX2	CCNB2
TACC1	AURKA
TOP2A	MELK
BMP2	SOSTDC1
C7	CLU
CXCL2	CXCR2
HIF3A	EPAS1
NUSAP1	UBE2C
KIAA0101	KIF11
CENPK	CDC20
AREG	EGFR
CCNA2	ORC6
CD36	FYN
GINS2	CDC6
NEK2	BUB1
MARCO	SCGB3A2
PRC1	BUB1
TYMS	MCM5
PRC1	NDC80
CEP55	CENPF
TTK	AURKA
CHEK1	ORC6
CENPK	ZWINT
BUB1	MCM5
NEK2	DLGAP5
RRM2	KIF11
CCL4	FGR
TTK	KIF15
GMNN	ORC6
KRT6A	KRT15
KIF4A	CCNA2
GATA2	TAL1
KIF4A	CCNB2
SFTPB	SFTPC
MAD2L1	AURKA
RRM2	MELK
CEP55	BUB1
TTK	CENPF
CENPF	DLGAP5
FPR2	MCEMP1
RRM2	MCM4
CDK1	ORC6
CEP55	ASPM
HMMR	ASPM
LILRB2	MCEMP1
MKI67	CENPF
TOP2A	KIF15
TTN	TNNC1
MAD2L1	DLGAP5
LCN2	SLPI
SFTPD	SFTPC
KRT80	KRT15
CDKN2A	CDKN2B
MYH10	MYL9
NUSAP1	BUB1
CDC20	RRM2
GINS2	NCAPG
LILRB2	CLEC12A
FGF2	KAL1
FCGR3B	VNN2
CENPK	KIF2C
PTTG1	CCNB1
FPR1	P2RY13
CXCR2	CXCL5
SHCBP1	CCNA2
HMMR	NCAPG
CASC5	CENPU
COL11A1	COL1A1
KIF4A	AURKA
FPR2	CXCR2
IGLL5	FGR
PRC1	AURKA
PECAM1	FYN
PBK	TPX2
CXCR2	CXCL3
PTX3	CFP
TOP2A	PRC1
COL11A1	COL3A1
RRM2	MCM2
WASF3	ARPC3
PPBP	CXCL5
FPR2	LILRB2
KRT4	KRT15
TPX2	NDC80
KIF20A	CENPF
RRM2	CCNA2
KIF20A	RRM2
MKI67	ASPM
SDC1	FGF2
KIF20A	CEP55
PBK	ASPM
TPX2	CCNA2
MCM3	KIF11
LCN2	TCN1
CENPF	KIF11
ADRB1	ADRB2
FPR2	CLEC12A
ECT2	MELK
GREM1	BMP2
P2RY13	P2RY14
CCNB1	ORC6
TYMS	CDCA7
KIF4A	MELK
MELK	NCAPG
CD52	VNN2
UHRF1	MCM5
CDC20	MCM2
RRM2	NCAPG
PREX1	RHOJ
PREX1	RHOB
ASPM	MELK
COL5A2	PLOD2
KIF20A	TTK
MKI67	DLGAP5
CCL4	FPR1
COL5A1	PLOD2
COL11A1	COL10A1
PRC1	MCM4
ATF3	FOS
RRM2	TYMS
NUSAP1	RRM2
CDC20	MCM7
PBK	CEP55
KIF2C	UBE2C
ARHGAP6	RHOB
CX3CR1	P2RY13
DEPDC1	DLGAP5
CD36	FABP4
ECT2	RHOB
ASPM	AURKA
KIF20A	NEK2
ACTR2	WASF3
TTN	DES
PTTG1	DLGAP5
MKI67	RRM2
CCNB2	CDC6
GATA6	LMCD1
TOP2A	NEK2
ARHGAP6	RHOJ
BUB1	KIAA0101
RRM2	TPX2
CEP55	NCAPG
MKI67	CCNA2
CDC20	TPX2
GRK5	GNG11
CDC20	MCM4
ECT2	KIF11
RRM2	NME1
CENPF	NCAPG
TPX2	NCAPH
RRM2	UBE2C
NCAPG	AURKA
TYMS	MAD2L1
KIF2C	AURKA
PLOD2	COL1A1
TOP2A	SMC4
NUSAP1	NEK2
TYMS	NDC80
PBK	KIF2C
MFAP4	FBLN1
CDK1	GINS2
NEK2	KIF11
ICAM2	ITGAL
PSPH	PSAT1
KIF15	BUB1
MFAP4	FBLN5
COL3A1	PLOD2
UBE2C	RNF144B
CEP55	RRM2
FPR2	C5AR1
EZH2	EGR1
CHEK1	BRIP1
CCL4	C5AR1
CXCL2	CXCL12
KIF20A	KIAA0101
PRC1	MAD2L1
NEK2	CCNA2
KIF2C	ASPM
PBK	NUF2
MCM3	TYMS
TGFBR2	SMAD6
EFEMP1	FBLN1
MKI67	SMC4
DEPDC1	CENPF
KIF20A	ASPM
FPR2	PROK2
KIF15	NCAPH
IGFBP3	TNC
RRM2	KIAA0101
KIAA0101	NDC80
CLEC12A	CD93
CXCL12	PPBP
ARHGEF15	RHOJ
ITGAL	CLEC12A
ASPM	KIF14
FYN	RRAS
FPR2	P2RY13
NFASC	SCN4B
CCL4	CXCL2
COL11A1	PLOD2
IL6	SOCS3
TTK	RRM2
COL10A1	COL1A2
DYNC1I2	DYNLRB2
KDELR3	KDELR2
CCL4	FPR2
DLC1	RHOB
STARD13	RHOB
FXYD6	ATP1A2
CYR61	IGFBP3
CDKN3	AURKA
KIF20A	PTTG1
NTNG1	NEGR1
SMAD9	TGFBR2
PBK	CENPF
FXYD1	ATP1A2
UBE2C	HECW2
MELK	AURKA
CDCA7	CDC6
NEDD4L	UBE2C
SFN	CCNB2
SFN	CCNB1
MYH10	RHOB
GATA2	GATA6
PRC1	CCNB2
SMAD9	SMAD6
PRC1	ECT2
FYN	S1PR1
COL10A1	COL1A1
SFN	SIK1
MYL9	RHOB
MGAM	CLEC12A
CEP55	MKI67
TTK	CCNB1
NDC80	NCAPH
COL5A2	COL10A1
CD36	CD93
KIF2C	RRM2
SMAD9	BMP2
MCEMP1	CD93
ARRB1	AGTR2
CDKN3	DLGAP5
TTK	MELK
COL13A1	COL5A2
SERPING1	VWF
ACVRL1	SMAD9
